20-08-04 18:36:22.488 : testsets\data-1
20-08-04 18:36:22.497 : ---1-->      0.jpg
20-08-04 18:36:27.564 : -426-->   1380.jpg
20-08-04 18:36:27.570 : -427-->   1381.jpg
20-08-04 18:36:27.581 : -428-->   1382.jpg
20-08-04 18:36:27.590 : -429-->   1383.jpg
20-08-04 18:36:27.602 : -430-->   1384.jpg
20-08-04 18:36:27.612 : -431-->   1385.jpg
20-08-04 18:36:27.621 : -432-->   1386.jpg
20-08-04 18:36:27.631 : -433-->   1387.jpg
20-08-04 18:36:27.640 : -434-->   1388.jpg
20-08-04 18:36:27.647 : -435-->   1389.jpg
20-08-04 18:36:27.654 : -436-->    139.jpg
20-08-04 18:36:27.666 : -437-->   1390.jpg
20-08-04 18:36:27.675 : -438-->   1391.jpg
20-08-04 18:36:27.682 : -439-->   1392.jpg
20-08-04 18:36:27.690 : -440-->   1393.jpg
20-08-04 18:36:27.699 : -441-->   1394.jpg
20-08-04 18:36:27.706 : -442-->   1395.jpg
20-08-04 18:36:27.713 : -443-->   1396.jpg
20-08-04 18:36:27.722 : -444-->   1397.jpg
20-08-04 18:36:27.727 : -445-->   1398.jpg
20-08-04 18:36:27.734 : -446-->   1399.jpg
20-08-04 18:36:27.743 : -447-->     14.jpg
20-08-04 18:36:27.753 : -448-->    140.jpg
20-08-04 18:36:27.763 : -449-->   1400.jpg
20-08-04 18:36:27.770 : -450-->   1401.jpg
20-08-04 18:36:27.777 : -451-->   1402.jpg
20-08-04 18:36:27.786 : -452-->   1403.jpg
20-08-04 18:36:27.797 : -453-->   1404.jpg
20-08-04 18:36:27.809 : -454-->   1405.jpg
20-08-04 18:36:27.816 : -455-->   1406.jpg
20-08-04 18:36:27.826 : -456-->   1407.jpg
20-08-04 18:36:27.833 : -457-->   1408.jpg
20-08-04 18:36:27.842 : -458-->   1409.jpg
20-08-04 18:36:27.848 : -459-->    141.jpg
20-08-04 18:36:27.856 : -460-->   1410.jpg
20-08-04 18:36:27.863 : -461-->   1411.jpg
20-08-04 18:36:27.872 : -462-->   1412.jpg
20-08-04 18:36:27.880 : -463-->   1413.jpg
20-08-04 18:36:27.886 : -464-->   1414.jpg
20-08-04 18:36:27.897 : -465-->   1415.jpg
20-08-04 18:36:27.906 : -466-->   1416.jpg
20-08-04 18:36:27.914 : -467-->   1417.jpg
20-08-04 18:36:27.923 : -468-->   1418.jpg
20-08-04 18:36:27.930 : -469-->   1419.jpg
20-08-04 18:36:27.937 : -470-->    142.jpg
20-08-04 18:36:27.948 : -471-->   1420.jpg
20-08-04 18:36:27.957 : -472-->   1421.jpg
20-08-04 18:36:27.966 : -473-->   1422.jpg
20-08-04 18:36:27.973 : -474-->   1423.jpg
20-08-04 18:36:27.980 : -475-->   1424.jpg
20-08-04 18:36:27.999 : -476-->   1425.jpg
20-08-04 18:36:28.013 : -477-->   1426.jpg
20-08-04 18:36:28.028 : -478-->   1427.jpg
20-08-04 18:36:28.035 : -479-->   1428.jpg
20-08-04 18:36:28.044 : -480-->   1429.jpg
20-08-04 18:36:28.055 : -481-->    143.jpg
20-08-04 18:36:28.068 : -482-->   1430.jpg
20-08-04 18:36:28.077 : -483-->   1431.jpg
20-08-04 18:36:28.086 : -484-->   1432.jpg
20-08-04 18:36:28.096 : -485-->   1433.jpg
20-08-04 18:36:28.106 : -486-->   1434.jpg
20-08-04 18:36:28.119 : -487-->   1435.jpg
20-08-04 18:36:28.129 : -488-->   1436.jpg
20-08-04 18:36:28.141 : -489-->   1437.jpg
20-08-04 18:36:28.149 : -490-->   1438.jpg
20-08-04 18:36:28.157 : -491-->   1439.jpg
20-08-04 18:36:28.167 : -492-->    144.jpg
20-08-04 18:36:28.183 : -493-->   1440.jpg
20-08-04 18:36:28.193 : -494-->   1441.jpg
20-08-04 18:36:28.200 : -495-->   1442.jpg
20-08-04 18:36:28.206 : -496-->   1443.jpg
20-08-04 18:36:28.214 : -497-->   1444.jpg
20-08-04 18:36:28.221 : -498-->   1445.jpg
20-08-04 18:36:28.230 : -499-->   1446.jpg
20-08-04 18:36:28.237 : -500-->   1447.jpg
20-08-04 18:36:28.245 : -501-->   1448.jpg
20-08-04 18:36:28.253 : -502-->   1449.jpg
20-08-04 18:36:28.260 : -503-->    145.jpg
20-08-04 18:36:28.269 : -504-->   1450.jpg
20-08-04 18:36:28.275 : -505-->   1451.jpg
20-08-04 18:36:28.289 : -506-->   1452.jpg
20-08-04 18:36:28.298 : -507-->   1453.jpg
20-08-04 18:36:28.305 : -508-->   1454.jpg
20-08-04 18:36:28.312 : -509-->    146.jpg
20-08-04 18:36:28.323 : -510-->    147.jpg
